id,name,region_value,is_aggregate
FJI,Fiji,East Asia & Pacific,False
FRA,France,Europe & Central Asia,False
FRO,Faroe Islands,Europe & Central Asia,False
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,False
FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,True
GAB,Gabon,Sub-Saharan Africa ,False
GBR,United Kingdom,Europe & Central Asia,False
GEO,Georgia,Europe & Central Asia,False
GHA,Ghana,Sub-Saharan Africa ,False
GIB,Gibraltar,Europe & Central Asia,False
GIN,Guinea,Sub-Saharan Africa ,False
GMB,"Gambia, The",Sub-Saharan Africa ,False
GNB,Guinea-Bissau,Sub-Saharan Africa ,False
GNQ,Equatorial Guinea,Sub-Saharan Africa ,False
GRC,Greece,Europe & Central Asia,False
GRD,Grenada,Latin America & Caribbean ,False
GRL,Greenland,Europe & Central Asia,False
GTM,Guatemala,Latin America & Caribbean ,False
GUM,Guam,East Asia & Pacific,False
GUY,Guyana,Latin America & Caribbean ,False
HIC,High income,Aggregates,True
HKG,"Hong Kong SAR, China",East Asia & Pacific,False
HND,Honduras,Latin America & Caribbean ,False
HPC,Heavily indebted poor countries (HIPC),Aggregates,True
HRV,Croatia,Europe & Central Asia,False
HTI,Haiti,Latin America & Caribbean ,False
HUN,Hungary,Europe & Central Asia,False
IBB,"IBRD, including blend",Aggregates,True
IBD,IBRD only,Aggregates,True
IBT,IDA & IBRD total,Aggregates,True
IDA,IDA total,Aggregates,True
IDB,IDA blend,Aggregates,True
IDN,Indonesia,East Asia & Pacific,False
IDX,IDA only,Aggregates,True
IMN,Isle of Man,Europe & Central Asia,False
IND,India,South Asia,False
INX,Not classified,Aggregates,True
IRL,Ireland,Europe & Central Asia,False
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",False
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",False
ISL,Iceland,Europe & Central Asia,False
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",False
ITA,Italy,Europe & Central Asia,False
JAM,Jamaica,Latin America & Caribbean ,False
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",False
JPN,Japan,East Asia & Pacific,False
KAZ,Kazakhstan,Europe & Central Asia,False
KEN,Kenya,Sub-Saharan Africa ,False
KGZ,Kyrgyz Republic,Europe & Central Asia,False
KHM,Cambodia,East Asia & Pacific,False
KIR,Kiribati,East Asia & Pacific,False
KNA,St. Kitts and Nevis,Latin America & Caribbean ,False
KOR,"Korea, Rep.",East Asia & Pacific,False
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",False
LAC,Latin America & Caribbean (excluding high income),Aggregates,True
LAO,Lao PDR,East Asia & Pacific,False
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",False
LBR,Liberia,Sub-Saharan Africa ,False
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",False
LCA,St. Lucia,Latin America & Caribbean ,False
LCN,Latin America & Caribbean ,Aggregates,True
LDC,Least developed countries: UN classification,Aggregates,True
LIC,Low income,Aggregates,True
LIE,Liechtenstein,Europe & Central Asia,False
LKA,Sri Lanka,South Asia,False
LMC,Lower middle income,Aggregates,True
LMY,Low & middle income,Aggregates,True
LSO,Lesotho,Sub-Saharan Africa ,False
LTE,Late-demographic dividend,Aggregates,True
LTU,Lithuania,Europe & Central Asia,False
LUX,Luxembourg,Europe & Central Asia,False
LVA,Latvia,Europe & Central Asia,False
MAC,"Macao SAR, China",East Asia & Pacific,False
MAF,St. Martin (French part),Latin America & Caribbean ,False
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",False
MCO,Monaco,Europe & Central Asia,False
MDA,Moldova,Europe & Central Asia,False
MDE,Middle East (developing only),Aggregates,True
MDG,Madagascar,Sub-Saharan Africa ,False
MDV,Maldives,South Asia,False
MEA,"Middle East, North Africa, Afghanistan & Pakistan",Aggregates,True
MEX,Mexico,Latin America & Caribbean ,False
MHL,Marshall Islands,East Asia & Pacific,False
MIC,Middle income,Aggregates,True
MKD,North Macedonia,Europe & Central Asia,False
MLI,Mali,Sub-Saharan Africa ,False
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",False
MMR,Myanmar,East Asia & Pacific,False
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Aggregates,True
MNE,Montenegro,Europe & Central Asia,False
MNG,Mongolia,East Asia & Pacific,False
MNP,Northern Mariana Islands,East Asia & Pacific,False
MOZ,Mozambique,Sub-Saharan Africa ,False
MRT,Mauritania,Sub-Saharan Africa ,False
MUS,Mauritius,Sub-Saharan Africa ,False
MWI,Malawi,Sub-Saharan Africa ,False
MYS,Malaysia,East Asia & Pacific,False
NAC,North America,Aggregates,True
NAF,North Africa,Aggregates,True
NAM,Namibia,Sub-Saharan Africa ,False
NCL,New Caledonia,East Asia & Pacific,False
NER,Niger,Sub-Saharan Africa ,False
NGA,Nigeria,Sub-Saharan Africa ,False
NIC,Nicaragua,Latin America & Caribbean ,False
NLD,Netherlands,Europe & Central Asia,False
NOR,Norway,Europe & Central Asia,False
NPL,Nepal,South Asia,False
NRS,Non-resource rich Sub-Saharan Africa countries,Aggregates,True
NRU,Naoero,East Asia & Pacific,False
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,True
NZL,New Zealand,East Asia & Pacific,False
OED,OECD members,Aggregates,True
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",False
OSS,Other small states,Aggregates,True
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",False
PAN,Panama,Latin America & Caribbean ,False
PER,Peru,Latin America & Caribbean ,False
PHL,Philippines,East Asia & Pacific,False
PLW,Palau,East Asia & Pacific,False
PNG,Papua New Guinea,East Asia & Pacific,False
POL,Poland,Europe & Central Asia,False
PRE,Pre-demographic dividend,Aggregates,True
PRI,Puerto Rico (US),Latin America & Caribbean ,False
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,False
PRT,Portugal,Europe & Central Asia,False
PRY,Paraguay,Latin America & Caribbean ,False
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",False
PSS,Pacific island small states,Aggregates,True
PST,Post-demographic dividend,Aggregates,True
PYF,French Polynesia,East Asia & Pacific,False
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",False
ROU,Romania,Europe & Central Asia,False
RRS,Resource rich Sub-Saharan Africa countries,Aggregates,True
RUS,Russian Federation,Europe & Central Asia,False
RWA,Rwanda,Sub-Saharan Africa ,False
SAS,South Asia,Aggregates,True
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",False
SDN,Sudan,Sub-Saharan Africa ,False
SEN,Senegal,Sub-Saharan Africa ,False
SGP,Singapore,East Asia & Pacific,False
SLB,Solomon Islands,East Asia & Pacific,False
SLE,Sierra Leone,Sub-Saharan Africa ,False
SLV,El Salvador,Latin America & Caribbean ,False
SMR,San Marino,Europe & Central Asia,False
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,False
SRB,Serbia,Europe & Central Asia,False
SSA,Sub-Saharan Africa (excluding high income),Aggregates,True
SSD,South Sudan,Sub-Saharan Africa ,False
SSF,Sub-Saharan Africa ,Aggregates,True
SST,Small states,Aggregates,True
STP,Sao Tome and Principe,Sub-Saharan Africa ,False
SUR,Suriname,Latin America & Caribbean ,False
SVK,Slovak Republic,Europe & Central Asia,False
SVN,Slovenia,Europe & Central Asia,False
SWE,Sweden,Europe & Central Asia,False
SWZ,Eswatini,Sub-Saharan Africa ,False
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,False
SXZ,Sub-Saharan Africa excluding South Africa,Aggregates,True
SYC,Seychelles,Sub-Saharan Africa ,False
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",False
TCA,Turks and Caicos Islands,Latin America & Caribbean ,False
TCD,Chad,Sub-Saharan Africa ,False
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates,True
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates,True
TGO,Togo,Sub-Saharan Africa ,False
THA,Thailand,East Asia & Pacific,False
TJK,Tajikistan,Europe & Central Asia,False
TKM,Turkmenistan,Europe & Central Asia,False
TLA,Latin America & the Caribbean (IDA & IBRD countries),Aggregates,True
TLS,Timor-Leste,East Asia & Pacific,False
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",Aggregates,True
TON,Tonga,East Asia & Pacific,False
TSA,South Asia (IDA & IBRD),Aggregates,True
TSS,Sub-Saharan Africa (IDA & IBRD countries),Aggregates,True
TTO,Trinidad and Tobago,Latin America & Caribbean ,False
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",False
TUR,Turkiye,Europe & Central Asia,False
TUV,Tuvalu,East Asia & Pacific,False
TZA,Tanzania,Sub-Saharan Africa ,False
UGA,Uganda,Sub-Saharan Africa ,False
UKR,Ukraine,Europe & Central Asia,False
UMC,Upper middle income,Aggregates,True
URY,Uruguay,Latin America & Caribbean ,False
USA,United States,North America,False
UZB,Uzbekistan,Europe & Central Asia,False
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,False
VEN,"Venezuela, RB",Latin America & Caribbean ,False
VGB,British Virgin Islands,Latin America & Caribbean ,False
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,False
VNM,Viet Nam,East Asia & Pacific,False
VUT,Vanuatu,East Asia & Pacific,False
WLD,World,Aggregates,True
WSM,Samoa,East Asia & Pacific,False
XKX,Kosovo,Europe & Central Asia,False
XZN,Sub-Saharan Africa excluding South Africa and Nigeria,Aggregates,True
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",False
ZAF,South Africa,Sub-Saharan Africa ,False
ZMB,Zambia,Sub-Saharan Africa ,False
ZWE,Zimbabwe,Sub-Saharan Africa ,False
